model,n_runs,quality,quality_sd,det_score,decode_tps,wall_s,energy_wh,wh_per_det_correct,j_per_output_token,mean_watts,trunc_rate,safety,quality_nonsafety,family,org,training_regime,tools_capable,thinking_capable,is_moe,quant,params_b,size_gb,bracket,is_reasoning,is_tools,arch_class,quality_per_wh,quality_per_gb,quality_per_bparam
gemma3:1b-it-q8_0,100,1.79,0.8621678104251709,0.60567,12.3388,10.6966,0.0239066,0.03947132927171562,0.9536150692520776,7.995,0.0,2.0,1.72,gemma3,Google,instruct,False,False,False,Q8_0,999.89,1.21,0-1B,False,False,dense,74.87472078840153,1.4793388429752068,0.0017901969216613828
gemma3:1b-it-qat,100,1.99,0.9480975102218595,0.6386999999999999,13.5791,9.1884,0.0205762,0.03221575074369814,0.8160661011347361,8.04,0.0,2.1,1.9533333333333334,gemma3,Google,instruct,False,False,False,Q4_0,999.89,1.14,0-1B,False,False,dense,96.71367891058603,1.7456140350877194,0.001990218924081649
gemma3:270m,100,1.28,0.5519478821831502,0.46085,35.6427,2.7718000000000003,0.0052651,0.01142475859824238,0.3100157016683023,6.784,0.0,1.28,1.28,gemma,,,,,,,,,0-1B,False,False,,243.11029230214052,,
gemma3:270m-it-qat,100,1.245,0.5527479561520812,0.51503,39.2492,4.1068999999999996,0.0077234999999999995,0.014996213812787604,0.23473701983959477,6.523,0.09,1.3,1.2266666666666666,gemma,,,,,,,,,0-1B,False,False,,161.19634880559335,,
gemma3:4b,100,2.94,1.064296609375071,0.7528199999999999,6.0698,26.0184,0.0641429,0.08520350150102284,2.2301954800077266,8.862,0.0,2.76,3.0,gemma3,Google,instruct,False,False,False,Q4_K_M,4.3,2.94,3-4B,False,False,dense,45.8351586847492,1.0,0.6837209302325582
gemma3:4b-it-q4_K_M,100,2.88,1.0615407137122377,0.7528199999999999,6.0924000000000005,25.922800000000002,0.064258,0.08535639329454583,2.234197411628356,8.914,0.0,2.74,2.9266666666666667,gemma3,Google,instruct,False,False,False,Q4_K_M,4.3,2.94,3-4B,False,False,dense,44.81932210775312,0.9795918367346939,0.6697674418604651
gemma3:4b-it-q8_0,100,2.78,1.0878576852853243,0.7388800000000001,4.1964,33.5184,0.0865949,0.11719751515807708,3.2619194307837187,9.302999999999999,0.0,2.72,2.8,gemma3,Google,instruct,False,False,False,Q8_0,4.3,4.58,3-4B,False,False,dense,32.103507250426986,0.6069868995633187,0.6465116279069767
gemma3:4b-it-qat,100,2.715,1.0900259472400486,0.76086,5.152100000000001,30.726399999999998,0.0770239,0.1012326840680283,2.4873164693218515,9.023,0.0,2.72,2.7133333333333334,gemma3,Google,instruct,False,False,False,Q4_0,4.3,3.6,3-4B,False,False,dense,35.248799398628215,0.7541666666666667,0.6313953488372093
gemma3n:e2b,100,2.835,1.0470135499301687,0.752,8.3215,27.5786,0.0648302,0.08621037234042553,1.3047222719141323,8.439,0.0,2.58,2.92,,,,,,,,2.0,,,False,False,,43.729619837668245,,1.4175
gemma4:e2b-it-qat,100,3.185,1.0339074651363371,0.7806700000000001,9.5018,20.9479,0.050452199999999996,0.06462679493255792,1.3090300540540538,8.645,0.0,2.94,3.2666666666666666,,,,,,,,2.0,,,False,False,,63.129060774356724,,1.5925
gemma:2b,100,1.775,0.8238092110201342,0.6133299999999999,9.3101,19.3631,0.0485105,0.07909363637845858,1.0917591897974492,8.894,0.02,1.68,1.8066666666666666,gemma,Google,instruct,False,False,False,Q4_0,3.0,2.0,2-3B,False,False,dense,36.590016594345556,0.8875,0.5916666666666667
gemma:2b-instruct-q4_K_M,100,1.83,0.8415353933031091,0.6570100000000001,8.9708,18.1848,0.0442981,0.06742378350405624,1.1036204844290656,8.657,0.01,1.64,1.8933333333333333,,,,,,,,2.0,,,False,False,,41.31102688377154,,0.915
gemma:2b-instruct-q8_0,100,1.79,0.8353913980157972,0.61369,6.527100000000001,24.0059,0.0608542,0.09916113998924539,1.5538344563444215,9.033999999999999,0.0,1.6,1.8533333333333333,gemma,Google,instruct,False,False,False,Q8_0,3.0,2.99,2-3B,False,False,dense,29.414567934505754,0.5986622073578595,0.5966666666666667
granite3.1-dense:2b,100,2.46,1.0042334631373564,0.7570100000000001,8.4563,34.2743,0.0831672,0.10986274950132759,1.1130182899628251,8.726999999999999,0.02,2.22,2.54,granite3.1-dense,IBM,instruct,False,False,False,Q4_K_M,2.5,2.07,2-3B,False,False,dense,29.578968631864488,1.1884057971014494,0.984
granite3.1-dense:2b-instruct-q8_0,100,2.59,1.0597788982289247,0.78134,5.7644,45.547700000000006,0.1141953,0.14615314715744745,1.6710148768392812,9.009,0.0,2.18,2.7266666666666666,granite3.1-dense,IBM,instruct,True,False,False,Q8_0,2.5,3.19,2-3B,False,True,dense,22.68044306552021,0.8119122257053292,1.036
granite3.1-moe:3b,100,1.875,0.7797143999276565,0.7330200000000001,18.2695,14.9031,0.0334147,0.0455849772175384,0.48841983028137564,8.058,0.02,1.58,1.9733333333333334,granite3.1-moe,IBM,instruct,False,False,True,Q4_K_M,3.3,2.46,2-3B,False,False,moe,56.11302809841178,0.7621951219512195,0.5681818181818182
granite3.2:2b,100,2.52,0.9819584636034382,0.79668,8.1201,50.859300000000005,0.1216954,0.15275317567906813,1.122996616425715,8.61,0.11,2.14,2.6466666666666665,granite3.2,IBM,instruct,False,False,False,Q4_K_M,2.5,2.04,2-3B,False,False,dense,20.707438407696593,1.2352941176470589,1.008
granite3.2:2b-instruct-q4_K_M,100,2.535,0.9981169138619852,0.79668,8.2081,50.343199999999996,0.12217510000000001,0.1533552994928955,1.1274232543832667,8.722,0.11,2.1,2.68,granite3.2,IBM,instruct,False,False,False,Q4_K_M,2.5,2.04,2-3B,False,False,dense,20.748908738359944,1.2426470588235294,1.014
granite3.3:2b,100,2.475,0.9438129201715925,0.79318,8.7186,31.567800000000002,0.0769426,0.09700521949620515,1.090138769727262,8.777000000000001,0.0,2.16,2.58,granite3.3,IBM,instruct,False,False,False,Q4_K_M,2.5,2.04,2-3B,False,False,dense,32.16683605700873,1.2132352941176472,0.99
granite3.3:8b,100,3.265,1.059957593967844,0.77634,3.188488372093023,83.5865,0.2138138,0.27541257696370147,3.0869447764186884,9.206,0.0,2.82,3.4133333333333336,granite,,,,,,,8.0,,4-5GB,False,False,,15.270295930384288,,0.408125
granite4.1:3b,100,2.98,1.1279730636514476,0.81018,6.8038,30.4873,0.07475799999999999,0.09227332197783208,1.4329081035033542,8.799,0.0,2.74,3.06,,,,,,,,3.0,,,False,False,,39.86195457342358,,0.9933333333333333
granite4:1b-h,100,2.235,1.0811866843726141,0.63251,9.19,11.6448,0.028435600000000002,0.04495675957692369,1.1361615982241955,8.692,0.0,2.36,2.1933333333333334,granite4,IBM,instruct,True,False,False,Q8_0,1.5,1.75,0-1B,False,True,hybrid-ssm,78.59865802022816,1.2771428571428571,1.49
granite4:350m,100,1.525,0.7499999999999999,0.55236,20.0528,5.9622,0.0129306,0.023409732782967634,0.44228180522565325,7.707999999999999,0.0,1.38,1.5733333333333333,granite,,,,,,,,,0-1B,False,False,,117.93729602647981,,
granite4:350m-bf16,100,1.51,0.7176701923937658,0.55236,20.648899999999998,5.8001,0.012712099999999999,0.023014157433557825,0.43480817102137764,7.795,0.0,1.4,1.5466666666666666,granite,,,,,,bf16,,,0-1B,False,False,,118.7844651945784,,
granite4:350m-h,100,1.59,0.7048891309054828,0.57634,31.196399999999997,3.7233,0.0080541,0.013974563625637643,0.3056262253610203,7.669,0.0,1.66,1.5666666666666667,granite,,,,,,,,,0-1B,False,False,,197.41498118970463,,
granite4:micro,100,2.72,1.069125952837318,0.78718,6.6959,32.7513,0.0798973,0.10149813257450646,1.4329212374831863,8.762,0.0,2.66,2.74,granite4,IBM,instruct,True,False,False,Q4_K_M,3.4,2.6,2-3B,False,True,hybrid-ssm,34.043703604502284,1.0461538461538462,0.8
granite4:micro-h,100,3.015,1.0186518125206057,0.74101,6.9304,26.671,0.0651603,0.08793444083075802,1.4174698169073658,8.754,0.0,2.58,3.16,granite,,,,,,,,,2-3B,False,False,,46.2705052002523,,
granite4:tiny-h,100,2.775,1.0109876159458924,0.79584,12.9881,23.2444,0.054763200000000005,0.0688118214716526,0.7073064255731353,8.459,0.0,2.52,2.86,granite4,IBM,instruct,True,False,True,Q4_K_M,6.9,4.43,4-5GB,False,True,hybrid-ssm,50.67271452362169,0.626410835214447,0.4021739130434782
hf.co/LiquidAI/LFM2-1.2B-GGUF:Q4_K_M,100,1.86,0.7353965466386695,0.69038,18.6894,8.0769,0.0186997,0.027086097511515396,0.5100691013789969,8.286,0.0,1.78,1.8866666666666667,LFM,,,,,,,1.2,,1-2B,False,False,,99.46683636635882,,1.55
hf.co/LiquidAI/LFM2-1.2B-GGUF:Q8_0,100,1.95,0.7334022006230878,0.6942100000000001,13.1337,12.4628,0.030554,0.044012618660059635,0.7447653869591713,8.798,0.0,1.94,1.9533333333333334,LFM,,,,,,,1.2,,1-2B,False,False,,63.82143090920992,,1.625
hf.co/LiquidAI/LFM2-350M-GGUF:Q4_K_M,100,1.325,0.483959886475286,0.65951,51.0967,5.1657,0.0112774,0.017099664902730814,0.16978353964536635,7.822,0.0,1.24,1.3533333333333333,LFM,,,,,,,,,0-1B,False,False,,117.4916204089595,,
hf.co/LiquidAI/LFM2-700M-GGUF:Q4_K_M,100,1.395,0.5188127472091126,0.61068,27.4327,9.7844,0.0220955,0.03618179734066942,0.3228238636363636,8.091000000000001,0.04,1.28,1.4333333333333333,LFM,,,,,,,,,0-1B,False,False,,63.13502749428616,,
hf.co/NousResearch/Hermes-3-Llama-3.2-3B-GGUF:Q4_K_M,100,2.11,0.8485876561092613,0.69002,7.3903,31.3491,0.0769492,0.111517347323266,1.3036099764705882,8.779,0.0,1.84,2.2,Hermes,,,,,,,3.0,,3-4B,False,False,,27.420687934377487,,0.7033333333333333
hf.co/NousResearch/Hermes-3-Llama-3.2-3B-GGUF:Q8_0,100,2.22,0.8713161993168262,0.7025199999999999,4.9119,39.155,0.0991791,0.14117619427204922,2.012426783902604,9.087,0.0,1.96,2.3066666666666666,Hermes,,,,,,,3.0,,3-4B,False,False,,22.38374818888254,,0.7400000000000001
hf.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF:Q4_K_M,100,2.075,0.9958880104173005,0.70235,13.455,16.8053,0.0384287,0.054714458603260484,0.6704629252689736,8.152999999999999,0.01,1.82,2.16,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q4_K_M,1.78,1.38,1-2B,False,False,dense,53.99610187177812,1.5036231884057973,1.1657303370786518
hf.co/Qwen/Qwen2.5-3B-Instruct-GGUF:Q4_K_M,100,2.65,0.905928844174348,0.7929999999999999,7.624700000000001,39.4292,0.09588630000000001,0.12091588902900378,1.230714061608671,8.711,0.06,2.32,2.76,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q4_K_M,3.4,2.44,2-3B,False,False,dense,27.6368991190608,1.0860655737704918,0.7794117647058824
hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,100,2.875,1.0525941979008557,0.79034,5.460909090909091,103.9487,0.2571047,0.3253089809449098,1.6830201291026459,8.908999999999999,0.93,2.96,2.8466666666666667,qwen3,Alibaba/Qwen,instruct,False,False,False,Q4_K_M,4.02,3.32,3-4B,False,False,dense,11.182214871995727,0.8659638554216867,0.7151741293532339
hf.co/allenai/OLMo-2-0425-1B-Instruct-GGUF:Q4_K_M,100,1.695,0.6431260460524914,0.72836,15.6336,26.897100000000002,0.0618127,0.08486558844527431,0.5538634542150982,8.266,0.1,1.7,1.6933333333333334,OLMo,,,,,,,1.0,,0-1B,False,False,,27.421549293268214,,1.695
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:IQ4_XS,100,2.385,0.9343473928390073,0.74117,6.8085,25.2731,0.06516,0.08791505322665515,1.6321736710269967,9.218,0.0,2.32,2.4066666666666667,Llama,,,,,,IQ4_XS,3.0,,3-4B,False,False,,36.60220994475138,,0.7949999999999999
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q3_K_L,100,2.25,0.8660254037844386,0.72099,7.1326,25.2144,0.06620140000000001,0.09182013620161167,1.5644285151634503,9.382,0.0,2.18,2.2733333333333334,Llama,,,,,,,3.0,,3-4B,False,False,,33.98719664538816,,0.75
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q5_K_M,100,2.52,1.014839391184137,0.73784,6.4382,29.086,0.0742849,0.10067887346850266,1.6487400739827374,9.135,0.0,2.3,2.5933333333333333,Llama,,,,,,,3.0,,3-4B,False,False,,33.92344877626543,,0.84
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q6_K,100,2.42,1.0217829534888532,0.77033,5.9675,29.656799999999997,0.0734838,0.09539262394038918,1.681337739926274,8.86,0.0,2.24,2.48,Llama,,,,,,,3.0,,3-4B,False,False,,32.93242864413653,,0.8066666666666666
hf.co/ggml-org/SmolLM3-3B-GGUF:Q4_K_M,100,2.245,0.900322613334136,0.7190000000000001,7.437157894736842,45.477399999999996,0.110296,0.1534019471488178,1.2446027019402564,8.658,0.07,2.12,2.2866666666666666,SmolLM,,,,,,,3.0,,3-4B,False,False,,20.35431928628418,,0.7483333333333334
hf.co/ggml-org/SmolLM3-3B-GGUF:Q8_0,100,2.295,0.858984013444683,0.726,5.14659793814433,54.4165,0.1382926,0.1904856749311295,1.8857367523957425,9.066,0.02,2.0,2.3933333333333335,SmolLM,,,,,,,3.0,,3-4B,False,False,,16.59524804653322,,0.765
hf.co/openbmb/MiniCPM3-4B-GGUF:Q4_K_M,100,2.315,0.9838468099529242,0.65484,5.217878787878789,31.864,0.0784251,0.11976223199560199,1.9663627246134558,8.847000000000001,0.0,2.46,2.2666666666666666,MiniCPM,,,,,,,4.0,,3-4B,False,False,,29.518610750894805,,0.57875
hf.co/tiiuae/Falcon-H1-0.5B-Instruct-GGUF:Q4_K_M,100,1.69,0.7377963366291773,0.69435,28.2827,15.324100000000001,0.0342942,0.04939036508965219,0.318283843357653,8.087,0.15,1.46,1.7666666666666666,,,,,,,,0.5,,,False,False,,49.279469997842206,,3.38
hf.co/tiiuae/Falcon-H1-1.5B-Deep-Instruct-GGUF:IQ4_XS,100,2.365,0.9557243802002182,0.77684,10.345999999999998,41.109399999999994,0.1053772,0.13564852479275014,1.1150370936452885,9.235,0.07,2.04,2.473333333333333,Falcon,,,,,,IQ4_XS,1.5,,1-2B,True,False,,22.443185053313243,,1.5766666666666669
hf.co/tiiuae/Falcon-H1-1.5B-Deep-Instruct-GGUF:Q4_K_M,100,2.39,0.8807136683716029,0.76901,10.5787,39.2297,0.09332829999999999,0.12136162078516534,0.9146595159665695,8.583,0.07,2.2,2.453333333333333,Falcon,,,,,,,1.5,,1-2B,True,False,,25.60852388825255,,1.5933333333333335
hf.co/tiiuae/Falcon-H1-3B-Instruct-GGUF:Q4_K_M,100,2.915,1.005175998459368,0.8371599999999999,6.7098,49.967600000000004,0.1248902,0.14918319078790196,1.5632987482614744,9.011000000000001,0.01,2.54,3.04,,,,,,,,3.0,,,False,False,,23.340502297217874,,0.9716666666666667
hf.co/unsloth/Llama-3.1-8B-Instruct-GGUF:Q4_K_M,100,3.06,1.1574964275530093,0.79566,3.5701,47.1267,0.12042220000000001,0.15134881733403716,2.882254637324646,9.152,0.0,2.78,3.1533333333333333,Llama,,,,,,,8.0,,4-5GB,False,False,,25.41059704938126,,0.3825
hf.co/unsloth/Llama-3.2-1B-Instruct-GGUF:Q4_K_M,100,1.615,0.7242376695672506,0.6470100000000001,17.0678,7.9606,0.0180221,0.02785443810760266,0.5631906250000001,8.039,0.0,1.84,1.54,llama3.2,Meta,instruct,False,False,False,Q4_K_M,1.24,1.09,0-1B,False,False,dense,89.61219835646234,1.4816513761467889,1.3024193548387097
hf.co/unsloth/Phi-4-mini-instruct-GGUF:Q4_K_M,100,2.49,0.9292660294745276,0.7620100000000001,5.9803999999999995,41.896499999999996,0.10440899999999999,0.1370178869043713,1.626941955590183,8.943000000000001,0.03,2.18,2.5933333333333333,phi4-mini,Microsoft,instruct,False,False,False,Q4_K_M,3.84,3.21,3-4B,False,False,dense,23.848518805850077,0.7757009345794393,0.6484375000000001
hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,100,3.38,1.1373369569021106,0.81667,5.9385,37.103699999999996,0.0933401,0.11429353349578164,1.6783595225013732,9.008,0.0,3.08,3.48,qwen3,Alibaba/Qwen,instruct,False,False,False,Q4_K_M,4.02,3.32,3-4B,False,False,dense,36.211660368908966,1.0180722891566265,0.8407960199004976
internlm2:1.8b,100,1.49,0.639523180963676,0.59418,13.808172043010753,12.601500000000001,0.030893099999999996,0.05199283045541755,0.7222232612507306,8.758,0.03,1.36,1.5333333333333334,internlm2,Shanghai AI Lab,instruct,False,False,False,Q4_0,1.9,1.68,1-2B,False,False,dense,48.23083471713749,0.886904761904762,0.7842105263157895
internlm2:7b,100,2.525,0.9464847243000456,0.80502,3.803421052631579,102.98700000000001,0.2759291,0.34276055253285637,2.584614159706502,9.642999999999999,0.01,2.32,2.5933333333333333,internlm,,,,,,,7.0,,4-5GB,False,False,,9.150901445335052,,0.3607142857142857
llama3.1:8b,100,3.035,1.1376366606773762,0.79317,3.5744,43.0339,0.1099057,0.1385651247525751,2.9047832024080464,9.151,0.0,2.6,3.18,llama,,,,,,,8.0,,4-5GB,False,False,,27.614582319206377,,0.379375
llama3.2:1b,100,1.645,0.7222824372722343,0.61785,11.5229,11.385399999999999,0.0269072,0.043549728898599975,0.8415074276778732,8.416,0.0,1.46,1.7066666666666668,llama3.2,Meta,instruct,True,False,False,Q8_0,1.2,1.6,0-1B,False,True,dense,61.136052803710534,1.028125,1.3708333333333333
llama3.2:1b-instruct-q4_K_M,100,1.53,0.69565752632987,0.60952,16.4427,10.04,0.022604799999999998,0.03708623178894868,0.5679201619094144,7.987,0.01,1.58,1.5133333333333334,,,,,,,,1.0,,,False,False,,67.68473952434881,,1.53
llama3.2:1b-instruct-q8_0,100,1.625,0.7155382236435378,0.61785,11.833599999999999,11.1094,0.026446499999999998,0.0428040786598689,0.8270992963252541,8.482999999999999,0.0,1.46,1.68,llama3.2,Meta,instruct,False,False,False,Q8_0,1.2,1.6,0-1B,False,False,dense,61.44480366021969,1.015625,1.3541666666666667
llama3.2:3b,100,2.515,0.9884560964177692,0.72051,7.3148,22.147100000000002,0.053927300000000004,0.07484601185271544,1.3506211214693198,8.686,0.0,2.44,2.54,llama3.2,Meta,instruct,True,False,False,Q4_K_M,3.2,2.67,3-4B,False,True,dense,46.636861107453925,0.9419475655430712,0.7859375
llama3.2:3b-instruct-q4_K_M,100,2.435,0.9578358392488218,0.72051,7.2494000000000005,22.3224,0.053858199999999995,0.07475010756269863,1.3488904967302073,8.611,0.0,2.34,2.466666666666667,,,,,,,,3.0,,,False,False,,45.21131415457628,,0.8116666666666666
llama3.2:3b-instruct-q8_0,100,2.5,0.9587449708822043,0.7148300000000001,5.0667,31.4362,0.08039450000000001,0.11246660045045676,2.003878695561864,9.149,0.0,2.24,2.5866666666666664,llama3.2,Meta,instruct,False,False,False,Q8_0,3.2,4.07,3-4B,False,False,dense,31.096654621895773,0.6142506142506142,0.78125
ministral-3:3b,100,2.81,1.1520293907586374,0.8411700000000001,5.8887,43.4816,0.10715519999999999,0.12738828060915153,1.6631115326579002,8.831,0.01,2.78,2.82,ministral-3,Mistral AI,instruct,True,False,False,Q4_K_M,3.8,2.85,2-3B,False,True,dense,26.22364570268172,0.9859649122807017,0.7394736842105264
mistral:7b-instruct-q4_K_M,100,2.31,1.0889249633273985,0.73116,3.7432,73.3497,0.18922930000000002,0.2588069642759451,2.693868554254983,9.279,0.03,2.24,2.3333333333333335,mistral,Mistral AI,instruct,False,False,False,Q4_K_M,7.0,5.18,4-5GB,False,False,dense,12.207411854295291,0.445945945945946,0.33
nemotron-mini:4b,100,1.66,0.6922368952836297,0.6104999999999999,6.560600000000001,28.2073,0.0678951,0.11121228501228501,1.4928379649422832,8.568999999999999,0.02,1.76,1.6266666666666667,nemotron-mini,NVIDIA,instruct,False,False,False,Q4_K_M,4.2,3.02,3-4B,False,False,dense,24.4494816268037,0.5496688741721854,0.3952380952380952
nemotron-mini:4b-instruct-q4_K_M,100,1.665,0.7387369783842712,0.6104999999999999,6.5489999999999995,28.277399999999997,0.0677532,0.11097985257985259,1.489717950284004,8.531,0.02,1.84,1.6066666666666667,nemotron-mini,NVIDIA,instruct,False,False,False,Q4_K_M,4.2,3.02,3-4B,False,False,dense,24.57448504277289,0.5513245033112583,0.3964285714285714
nemotron-mini:4b-instruct-q8_0,100,1.745,0.8572183107722515,0.6095,4.664848484848485,44.0138,0.1105912,0.18144577522559474,2.135881545064378,8.935,0.03,1.74,1.7466666666666666,nemotron-mini,NVIDIA,instruct,False,False,False,Q8_0,4.2,4.78,3-4B,False,False,dense,15.778832312155037,0.36506276150627615,0.4154761904761905
olmo2:7b,100,2.515,0.8179025898385738,0.7631600000000001,3.762967032967033,75.9651,0.1941669,0.25442489124167933,2.5712740114033474,9.179,0.0,2.22,2.6133333333333333,olmo,,,,,,,7.0,,4-5GB,False,False,,12.952774134005333,,0.3592857142857143
