model,n_runs,quality,quality_sd,det_score,decode_tps,wall_s,energy_wh,wh_per_det_correct,j_per_output_token,mean_watts,trunc_rate,safety,quality_nonsafety,family,org,training_regime,tools_capable,thinking_capable,is_moe,quant,params_b,size_gb,bracket,is_reasoning,is_tools,arch_class,quality_per_wh,quality_per_gb,quality_per_bparam,tps_per_gb,resid
gemma3:1b-it-q8_0,100,1.79,0.8621678104251709,0.60567,12.3388,10.6966,0.0239066,0.03947132927171562,0.9536150692520776,7.995,0.0,2.0,1.72,gemma3,Google,instruct,False,False,False,Q8_0,999.89,1.21,0-1B,False,False,dense,74.87472078840153,1.4793388429752068,0.0017901969216613828,10.197355371900828,-0.19115052584297532
gemma3:1b-it-qat,100,1.99,0.9480975102218595,0.6386999999999999,13.5791,9.1884,0.0205762,0.03221575074369814,0.8160661011347361,8.04,0.0,2.1,1.9533333333333334,gemma3,Google,instruct,False,False,False,Q4_0,999.89,1.14,0-1B,False,False,dense,96.71367891058603,1.7456140350877194,0.001990218924081649,11.911491228070178,-0.14520426525105945
gemma3:4b,100,2.94,1.064296609375071,0.7528199999999999,6.0698,26.0184,0.0641429,0.08520350150102284,2.2301954800077266,8.862,0.0,2.76,3.0,gemma3,Google,instruct,False,False,False,Q4_K_M,4.3,2.94,3-4B,False,False,dense,45.8351586847492,1.0,0.6837209302325582,2.0645578231292516,-0.15811632498800088
gemma3:4b-it-q4_K_M,100,2.88,1.0615407137122377,0.7528199999999999,6.0924000000000005,25.922800000000002,0.064258,0.08535639329454583,2.234197411628356,8.914,0.0,2.74,2.9266666666666667,gemma3,Google,instruct,False,False,False,Q4_K_M,4.3,2.94,3-4B,False,False,dense,44.81932210775312,0.9795918367346939,0.6697674418604651,2.072244897959184,-0.15439988782820824
gemma3:4b-it-q8_0,100,2.78,1.0878576852853243,0.7388800000000001,4.1964,33.5184,0.0865949,0.11719751515807708,3.2619194307837187,9.302999999999999,0.0,2.72,2.8,gemma3,Google,instruct,False,False,False,Q8_0,4.3,4.58,3-4B,False,False,dense,32.103507250426986,0.6069868995633187,0.6465116279069767,0.9162445414847161,-0.15649243184500183
gemma3:4b-it-qat,100,2.715,1.0900259472400486,0.76086,5.152100000000001,30.726399999999998,0.0770239,0.1012326840680283,2.4873164693218515,9.023,0.0,2.72,2.7133333333333334,gemma3,Google,instruct,False,False,False,Q4_0,4.3,3.6,3-4B,False,False,dense,35.248799398628215,0.7541666666666667,0.6313953488372093,1.4311388888888892,-0.1526667251651026
gemma:2b,100,1.775,0.8238092110201342,0.6133299999999999,9.3101,19.3631,0.0485105,0.07909363637845858,1.0917591897974492,8.894,0.02,1.68,1.8066666666666666,gemma,Google,instruct,False,False,False,Q4_0,3.0,2.0,2-3B,False,False,dense,36.590016594345556,0.8875,0.5916666666666667,4.65505,-0.052536741681572074
gemma:2b-instruct-q8_0,100,1.79,0.8353913980157972,0.61369,6.527100000000001,24.0059,0.0608542,0.09916113998924539,1.5538344563444215,9.033999999999999,0.0,1.6,1.8533333333333333,gemma,Google,instruct,False,False,False,Q8_0,3.0,2.99,2-3B,False,False,dense,29.414567934505754,0.5986622073578595,0.5966666666666667,2.1829765886287626,-0.07137605449771978
granite3.1-dense:2b,100,2.46,1.0042334631373564,0.7570100000000001,8.4563,34.2743,0.0831672,0.10986274950132759,1.1130182899628251,8.726999999999999,0.02,2.22,2.54,granite3.1-dense,IBM,instruct,False,False,False,Q4_K_M,2.5,2.07,2-3B,False,False,dense,29.578968631864488,1.1884057971014494,0.984,4.085169082125605,-0.11995496664147254
granite3.1-dense:2b-instruct-q8_0,100,2.59,1.0597788982289247,0.78134,5.7644,45.547700000000006,0.1141953,0.14615314715744745,1.6710148768392812,9.009,0.0,2.18,2.7266666666666666,granite3.1-dense,IBM,instruct,True,False,False,Q8_0,2.5,3.19,2-3B,False,True,dense,22.68044306552021,0.8119122257053292,1.036,1.8070219435736679,-0.14148942340417814
granite3.1-moe:3b,100,1.875,0.7797143999276565,0.7330200000000001,18.2695,14.9031,0.0334147,0.0455849772175384,0.48841983028137564,8.058,0.02,1.58,1.9733333333333334,granite3.1-moe,IBM,instruct,False,False,True,Q4_K_M,3.3,2.46,2-3B,False,False,moe,56.11302809841178,0.7621951219512195,0.5681818181818182,7.426626016260163,0.7947221892397316
granite3.2:2b,100,2.52,0.9819584636034382,0.79668,8.1201,50.859300000000005,0.1216954,0.15275317567906813,1.122996616425715,8.61,0.11,2.14,2.6466666666666665,granite3.2,IBM,instruct,False,False,False,Q4_K_M,2.5,2.04,2-3B,False,False,dense,20.707438407696593,1.2352941176470589,1.008,3.9804411764705887,-0.17273318558417028
granite3.2:2b-instruct-q4_K_M,100,2.535,0.9981169138619852,0.79668,8.2081,50.343199999999996,0.12217510000000001,0.1533552994928955,1.1274232543832667,8.722,0.11,2.1,2.68,granite3.2,IBM,instruct,False,False,False,Q4_K_M,2.5,2.04,2-3B,False,False,dense,20.748908738359944,1.2426470588235294,1.014,4.023578431372549,-0.16195418336279443
granite3.3:2b,100,2.475,0.9438129201715925,0.79318,8.7186,31.567800000000002,0.0769426,0.09700521949620515,1.090138769727262,8.777000000000001,0.0,2.16,2.58,granite3.3,IBM,instruct,False,False,False,Q4_K_M,2.5,2.04,2-3B,False,False,dense,32.16683605700873,1.2132352941176472,0.99,4.273823529411765,-0.10161698038029243
granite4:1b-h,100,2.235,1.0811866843726141,0.63251,9.19,11.6448,0.028435600000000002,0.04495675957692369,1.1361615982241955,8.692,0.0,2.36,2.1933333333333334,granite4,IBM,instruct,True,False,False,Q8_0,1.5,1.75,0-1B,False,True,hybrid-ssm,78.59865802022816,1.2771428571428571,1.49,5.251428571428571,-0.1771928192230776
granite4:micro,100,2.72,1.069125952837318,0.78718,6.6959,32.7513,0.0798973,0.10149813257450646,1.4329212374831863,8.762,0.0,2.66,2.74,granite4,IBM,instruct,True,False,False,Q4_K_M,3.4,2.6,2-3B,False,True,hybrid-ssm,34.043703604502284,1.0461538461538462,0.8,2.5753461538461537,-0.1627261808192748
granite4:tiny-h,100,2.775,1.0109876159458924,0.79584,12.9881,23.2444,0.054763200000000005,0.0688118214716526,0.7073064255731353,8.459,0.0,2.52,2.86,granite4,IBM,instruct,True,False,True,Q4_K_M,6.9,4.43,4-5GB,False,True,hybrid-ssm,50.67271452362169,0.626410835214447,0.4021739130434782,2.9318510158013544,0.9454658373715228
hf.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF:Q4_K_M,100,2.075,0.9958880104173005,0.70235,13.455,16.8053,0.0384287,0.054714458603260484,0.6704629252689736,8.152999999999999,0.01,1.82,2.16,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q4_K_M,1.78,1.38,1-2B,False,False,dense,53.99610187177812,1.5036231884057973,1.1657303370786518,9.75,0.005393992712971585
hf.co/Qwen/Qwen2.5-3B-Instruct-GGUF:Q4_K_M,100,2.65,0.905928844174348,0.7929999999999999,7.624700000000001,39.4292,0.09588630000000001,0.12091588902900378,1.230714061608671,8.711,0.06,2.32,2.76,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q4_K_M,3.4,2.44,2-3B,False,False,dense,27.6368991190608,1.0860655737704918,0.7794117647058824,3.1248770491803284,-0.08594480527206638
hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,100,2.875,1.0525941979008557,0.79034,5.460909090909091,103.9487,0.2571047,0.3253089809449098,1.6830201291026459,8.908999999999999,0.93,2.96,2.8466666666666667,qwen3,Alibaba/Qwen,instruct,False,False,False,Q4_K_M,4.02,3.32,3-4B,False,False,dense,11.182214871995727,0.8659638554216867,0.7151741293532339,1.6448521358159913,-0.1621702006047756
hf.co/unsloth/Llama-3.2-1B-Instruct-GGUF:Q4_K_M,100,1.615,0.7242376695672506,0.6470100000000001,17.0678,7.9606,0.0180221,0.02785443810760266,0.5631906250000001,8.039,0.0,1.84,1.54,llama3.2,Meta,instruct,False,False,False,Q4_K_M,1.24,1.09,0-1B,False,False,dense,89.61219835646234,1.4816513761467889,1.3024193548387097,15.658532110091741,0.04594904870056027
hf.co/unsloth/Phi-4-mini-instruct-GGUF:Q4_K_M,100,2.49,0.9292660294745276,0.7620100000000001,5.9803999999999995,41.896499999999996,0.10440899999999999,0.1370178869043713,1.626941955590183,8.943000000000001,0.03,2.18,2.5933333333333333,phi4-mini,Microsoft,instruct,False,False,False,Q4_K_M,3.84,3.21,3-4B,False,False,dense,23.848518805850077,0.7757009345794393,0.6484375000000001,1.8630529595015575,-0.09947615372950391
hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,100,3.38,1.1373369569021106,0.81667,5.9385,37.103699999999996,0.0933401,0.11429353349578164,1.6783595225013732,9.008,0.0,3.08,3.48,qwen3,Alibaba/Qwen,instruct,False,False,False,Q4_K_M,4.02,3.32,3-4B,False,False,dense,36.211660368908966,1.0180722891566265,0.8407960199004976,1.7887048192771087,-0.07832890043631724
internlm2:1.8b,100,1.49,0.639523180963676,0.59418,13.808172043010753,12.601500000000001,0.030893099999999996,0.05199283045541755,0.7222232612507306,8.758,0.03,1.36,1.5333333333333334,internlm2,Shanghai AI Lab,instruct,False,False,False,Q4_0,1.9,1.68,1-2B,False,False,dense,48.23083471713749,0.886904761904762,0.7842105263157895,8.219150025601639,0.19581244164849076
llama3.2:1b,100,1.645,0.7222824372722343,0.61785,11.5229,11.385399999999999,0.0269072,0.043549728898599975,0.8415074276778732,8.416,0.0,1.46,1.7066666666666668,llama3.2,Meta,instruct,True,False,False,Q8_0,1.2,1.6,0-1B,False,True,dense,61.136052803710534,1.028125,1.3708333333333333,7.2018125,-0.025914962255122465
llama3.2:1b-instruct-q8_0,100,1.625,0.7155382236435378,0.61785,11.833599999999999,11.1094,0.026446499999999998,0.0428040786598689,0.8270992963252541,8.482999999999999,0.0,1.46,1.68,llama3.2,Meta,instruct,False,False,False,Q8_0,1.2,1.6,0-1B,False,False,dense,61.44480366021969,1.015625,1.3541666666666667,7.395999999999999,0.0006916208168532556
llama3.2:3b,100,2.515,0.9884560964177692,0.72051,7.3148,22.147100000000002,0.053927300000000004,0.07484601185271544,1.3506211214693198,8.686,0.0,2.44,2.54,llama3.2,Meta,instruct,True,False,False,Q4_K_M,3.2,2.67,3-4B,False,True,dense,46.636861107453925,0.9419475655430712,0.7859375,2.7396254681647942,-0.05210390588080438
llama3.2:3b-instruct-q8_0,100,2.5,0.9587449708822043,0.7148300000000001,5.0667,31.4362,0.08039450000000001,0.11246660045045676,2.003878695561864,9.149,0.0,2.24,2.5866666666666664,llama3.2,Meta,instruct,False,False,False,Q8_0,3.2,4.07,3-4B,False,False,dense,31.096654621895773,0.6142506142506142,0.78125,1.2448894348894348,-0.06675985233879622
ministral-3:3b,100,2.81,1.1520293907586374,0.8411700000000001,5.8887,43.4816,0.10715519999999999,0.12738828060915153,1.6631115326579002,8.831,0.01,2.78,2.82,ministral-3,Mistral AI,instruct,True,False,False,Q4_K_M,3.8,2.85,2-3B,False,True,dense,26.22364570268172,0.9859649122807017,0.7394736842105264,2.0662105263157895,-0.21440774989239375
mistral:7b-instruct-q4_K_M,100,2.31,1.0889249633273985,0.73116,3.7432,73.3497,0.18922930000000002,0.2588069642759451,2.693868554254983,9.279,0.03,2.24,2.3333333333333335,mistral,Mistral AI,instruct,False,False,False,Q4_K_M,7.0,5.18,4-5GB,False,False,dense,12.207411854295291,0.445945945945946,0.33,0.7226254826254827,-0.16782510230222503
nemotron-mini:4b,100,1.66,0.6922368952836297,0.6104999999999999,6.560600000000001,28.2073,0.0678951,0.11121228501228501,1.4928379649422832,8.568999999999999,0.02,1.76,1.6266666666666667,nemotron-mini,NVIDIA,instruct,False,False,False,Q4_K_M,4.2,3.02,3-4B,False,False,dense,24.4494816268037,0.5496688741721854,0.3952380952380952,2.172384105960265,-0.05790758774549132
nemotron-mini:4b-instruct-q4_K_M,100,1.665,0.7387369783842712,0.6104999999999999,6.5489999999999995,28.277399999999997,0.0677532,0.11097985257985259,1.489717950284004,8.531,0.02,1.84,1.6066666666666667,nemotron-mini,NVIDIA,instruct,False,False,False,Q4_K_M,4.2,3.02,3-4B,False,False,dense,24.57448504277289,0.5513245033112583,0.3964285714285714,2.1685430463576156,-0.05967728369768377
nemotron-mini:4b-instruct-q8_0,100,1.745,0.8572183107722515,0.6095,4.664848484848485,44.0138,0.1105912,0.18144577522559474,2.135881545064378,8.935,0.03,1.74,1.7466666666666666,nemotron-mini,NVIDIA,instruct,False,False,False,Q8_0,4.2,4.78,3-4B,False,False,dense,15.778832312155037,0.36506276150627615,0.4154761904761905,0.9759097248636998,-0.014919374259155793
phi3.5:3.8b,100,2.395,1.0132829931674685,0.75467,6.7324,57.3687,0.1490855,0.19755058502391773,1.501826678232644,9.369000000000002,0.24,2.38,2.4,phi3.5,Microsoft,instruct,False,False,False,Q4_0,3.8,4.04,3-4B,False,False,dense,16.06460722203031,0.5928217821782178,0.6302631578947369,1.6664356435643564,0.21129492404014827
phi3.5:3.8b-mini-instruct-q8_0,100,2.565,1.0016526747371473,0.77751,4.283563218390805,84.3845,0.21851859999999998,0.28104924695502304,2.2967037253299076,9.329,0.07,2.4,2.62,phi3.5,Microsoft,instruct,False,False,False,Q8_0,3.8,5.93,3-4B,False,False,dense,11.738131216290055,0.4325463743676223,0.675,0.7223546742648913,0.08010288514819952
phi3:3.8b,100,2.11,0.8892739065147929,0.7363599999999999,6.891,42.031800000000004,0.1096987,0.14897427888532785,1.5199573550919867,9.422,0.09,2.08,2.12,phi3,Microsoft,instruct,False,False,False,Q4_0,3.8,4.04,3-4B,False,False,dense,19.234503234769416,0.5222772277227723,0.5552631578947368,1.7056930693069308,0.23457944414534504
phi3:3.8b-mini-128k-instruct-q8_0,100,2.33,0.9980283593468704,0.73884,4.352680412371134,47.76649999999999,0.12320130000000001,0.16674963456228684,2.362315206391478,9.286999999999999,0.02,2.54,2.26,phi3,Microsoft,instruct,False,False,False,Q8_0,3.8,5.93,3-4B,False,False,dense,18.912138102438853,0.3929173693086004,0.6131578947368421,0.7340101875836651,0.09610953633949304
qwen2.5-coder:1.5b,100,1.955,0.9642472334794263,0.71238,13.4719,22.7936,0.052542900000000003,0.07375684325781184,0.6614254143646409,8.264,0.04,2.04,1.9266666666666667,qwen2.5-coder,Alibaba/Qwen,code/math,False,False,False,Q4_K_M,1.5,1.25,1-2B,False,False,dense,37.207691238968536,1.564,1.3033333333333335,10.777519999999999,-0.0760941447081489
qwen2.5-coder:1.5b-instruct-q8_0,100,1.92,0.8279218232747252,0.7152,9.2174,30.898600000000002,0.0742927,0.10387681767337809,0.9973290077189843,8.618,0.07,1.94,1.9133333333333333,qwen2.5-coder,Alibaba/Qwen,code/math,False,False,False,Q8_0,1.5,1.91,1-2B,False,False,dense,25.843723542151515,1.0052356020942408,1.28,4.82586387434555,-0.10105007557495149
qwen2.5-coder:3b,100,2.425,1.0307764064044151,0.74901,7.659199999999999,38.221599999999995,0.094148,0.1256965861603984,1.2476819436775262,8.807,0.04,2.48,2.4066666666666667,qwen2.5-coder,Alibaba/Qwen,code/math,False,False,False,Q4_K_M,3.1,2.26,2-3B,False,False,dense,25.75731826485958,1.073008849557522,0.782258064516129,3.3890265486725664,-0.14551853991438524
qwen2.5-coder:3b-instruct-q4_K_M,100,2.45,1.0624442944398913,0.74901,7.739299999999999,37.7889,0.09297190000000001,0.12412638015513813,1.2320958586416346,8.793000000000001,0.04,2.48,2.44,qwen2.5-coder,Alibaba/Qwen,code/math,False,False,False,Q4_K_M,3.1,2.26,2-3B,False,False,dense,26.352048307069126,1.0840707964601772,0.7903225806451614,3.4244690265486724,-0.13511483533522073
qwen2.5-coder:3b-instruct-q8_0,100,2.66,1.0845098506521809,0.7930200000000001,5.234646464646465,60.6628,0.1558029,0.19646780661269575,1.8675182792834788,9.209,0.02,2.66,2.66,qwen2.5-coder,Alibaba/Qwen,code/math,False,False,False,Q8_0,3.1,3.62,2-3B,False,False,dense,17.07285294432902,0.7348066298342542,0.8580645161290322,1.4460349349852113,-0.13213856691174453
qwen2.5:0.5b,100,1.26,0.440844002276808,0.59919,24.646900000000002,14.6249,0.032463700000000005,0.05417930873345683,0.348208801358639,7.94,0.14,1.18,1.2866666666666666,qwen2.5,Alibaba/Qwen,instruct,True,False,False,Q4_K_M,494.03,0.53,0-1B,False,True,dense,38.81258143711283,2.3773584905660377,0.002550452401676012,46.50358490566038,-0.18961191399965527
qwen2.5:0.5b-instruct-q4_K_M,100,1.265,0.45201568757973637,0.59919,25.011,14.4344,0.0319782,0.05336904821509037,0.34300128117271994,7.926,0.14,1.22,1.28,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q4_K_M,494.03,0.53,0-1B,False,False,dense,39.55819902308448,2.3867924528301883,0.002560573244539805,47.19056603773585,-0.17494731783414785
qwen2.5:0.5b-instruct-q8_0,100,1.325,0.478713553878169,0.66669,23.425900000000002,15.6318,0.034305,0.05145569905053323,0.3595179179645425,7.86,0.19,1.38,1.3066666666666666,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q8_0,494.03,0.67,0-1B,False,False,dense,38.62410727299227,1.9776119402985073,0.00268202335890533,34.96402985074627,-0.04439170211659249
qwen2.5:1.5b,100,1.845,0.7510766682677354,0.70851,13.269,23.378400000000003,0.053494799999999995,0.07550323919210737,0.6662328928250191,8.171999999999999,0.05,1.74,1.88,qwen2.5,Alibaba/Qwen,instruct,True,False,False,Q4_K_M,1.5,1.25,1-2B,False,True,dense,34.48933354269948,1.476,1.23,10.6152,-0.09126969182342082
qwen2.5:1.5b-instruct-q4_K_M,100,1.855,0.7497305913432902,0.70851,13.399000000000001,23.175300000000004,0.053314700000000007,0.07524904376790731,0.6639898982910123,8.213,0.05,1.7,1.9066666666666667,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q4_K_M,1.5,1.25,1-2B,False,False,dense,34.79340594620245,1.484,1.2366666666666666,10.7192,-0.08152010207124905
qwen2.5:1.5b-instruct-q8_0,100,1.96,0.8277998098891574,0.74318,9.5393,31.925900000000002,0.0777736,0.1046497483785893,0.9743012840588787,8.72,0.06,2.02,1.94,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q8_0,1.5,1.91,1-2B,False,False,dense,25.201353672711562,1.0261780104712042,1.3066666666666666,4.994397905759163,-0.06672297020755114
qwen2.5:3b,100,2.485,1.0309723761595364,0.7728499999999999,7.3687000000000005,45.0056,0.1087773,0.14074826939250826,1.256411319301848,8.68,0.07,2.5,2.48,qwen2.5,Alibaba/Qwen,instruct,True,False,False,Q4_K_M,3.1,2.26,2-3B,False,True,dense,22.844839870083188,1.0995575221238938,0.8016129032258064,3.2604867256637173,-0.18418477970133496
qwen2.5:3b-instruct-q4_K_M,100,2.52,1.0272056829824856,0.7728499999999999,7.7127,43.116400000000006,0.10583500000000001,0.13694119169308405,1.2224268480492815,8.805,0.07,2.52,2.52,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q4_K_M,3.1,2.26,2-3B,False,False,dense,23.810648651202342,1.1150442477876108,0.8129032258064516,3.4126991150442483,-0.13855775874652565
qwen2.5:3b-instruct-q8_0,100,2.67,1.0155856150094589,0.78551,5.130599999999999,68.1516,0.17272310000000002,0.21988657050833219,1.868286641427799,9.091999999999999,0.14,2.38,2.7666666666666666,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q8_0,3.1,3.62,2-3B,False,False,dense,15.458268176057514,0.7375690607734806,0.8612903225806451,1.4172928176795578,-0.15221526452713796
qwen2.5:7b,100,3.08,1.1230370079441376,0.8326699999999999,3.734787234042553,67.8509,0.17359290000000002,0.20847742803271407,2.675004023628114,9.184,0.0,2.84,3.16,qwen2.5,Alibaba/Qwen,instruct,True,False,False,Q4_K_M,7.6,5.22,4-5GB,False,True,dense,17.74266113418233,0.5900383141762453,0.4052631578947369,0.7154764816173473,-0.1636420097502611
qwen2:0.5b-instruct-q8_0,100,1.34,0.5406692448468214,0.61819,24.073600000000003,8.915600000000001,0.019274100000000002,0.031178278522784257,0.36210604321052087,7.667000000000001,0.02,1.42,1.3133333333333332,qwen2,Alibaba/Qwen,instruct,False,False,False,Q8_0,494.03,0.67,0-1B,False,False,dense,69.52334998780746,2.0,0.002712385887496711,35.93074626865672,-0.017118145610193203
qwen2:1.5b,100,1.595,0.723679570813023,0.58852,14.750499999999999,11.3568,0.0268809,0.045675423095221906,0.6624990757855822,8.412,0.0,1.52,1.62,qwen2,Alibaba/Qwen,instruct,False,False,False,Q4_0,1.5,1.2,1-2B,False,False,dense,59.33581092894955,1.3291666666666666,1.0633333333333332,12.292083333333332,-0.019562595547473194
qwen2:1.5b-instruct-q8_0,100,1.705,0.7490566457791151,0.6256900000000001,9.5726,18.1641,0.044024400000000005,0.07036136105739264,1.0037228625712478,8.656,0.0,1.76,1.6866666666666668,qwen2,Alibaba/Qwen,instruct,False,False,False,Q8_0,1.5,1.91,1-2B,False,False,dense,38.72852327345744,0.8926701570680629,1.1366666666666667,5.011832460732984,-0.06323822680704883
qwen3:0.6b,100,1.775,0.7666501974515662,0.6805100000000001,26.2069,6.9326,0.0153814,0.022602753816990197,0.35928523228653,7.892,0.01,1.84,1.7533333333333334,qwen3,Alibaba/Qwen,instruct,True,True,False,Q4_K_M,751.63,1.09,0-1B,False,True,dense,115.39911841574889,1.628440366972477,0.0023615342655295825,24.04302752293578,0.4747781361508472
qwen3:0.6b-fp16,100,1.86,0.8441121089791644,0.69435,13.048,12.300899999999999,0.0282127,0.04063181392669403,0.7062493567902093,8.177999999999999,0.01,1.8,1.88,qwen3,Alibaba/Qwen,instruct,True,True,False,F16,751.63,2.07,0-1B,False,True,dense,65.92775593970092,0.8985507246376813,0.0024746218219070556,6.303381642512078,0.3137681729713586
qwen3:0.6b-q8_0,100,2.01,0.8875684637129564,0.6781900000000001,20.1964,8.2784,0.0188819,0.02784160780902107,0.47208028335301067,8.081,0.0,1.9,2.046666666666667,qwen3,Alibaba/Qwen,instruct,False,False,False,Q8_0,751.63,1.4,0-1B,False,False,dense,106.45115163198618,1.4357142857142857,0.0026741880978673016,14.426000000000002,0.423580867209683
qwen3:1.7b,100,2.63,1.1317725438042272,0.74383,12.15,15.388800000000002,0.0365625,0.04915437667208906,0.7951730804083852,8.442,0.01,2.8,2.5733333333333333,qwen3,Alibaba/Qwen,instruct,True,True,False,Q4_K_M,2.0,1.97,1-2B,False,True,dense,71.93162393162393,1.3350253807106598,1.315,6.167512690355331,0.20105307425580676
qwen3:1.7b-fp16,100,2.82,1.1470647652846704,0.76767,5.231599999999999,34.1582,0.08118539999999999,0.10575559810856228,1.7547276657060518,8.515,0.0,2.78,2.8333333333333335,qwen3,Alibaba/Qwen,instruct,True,True,False,F16,2.0,4.68,1-2B,False,True,dense,34.73530955073203,0.6025641025641025,1.41,1.1178632478632478,0.0820610293618067
qwen3:1.7b-q8_0,100,2.75,1.1601549879044595,0.76166,8.6222,21.6608,0.0533985,0.07010805346217473,1.1284022070908664,8.832,0.0,2.58,2.8066666666666666,qwen3,Alibaba/Qwen,instruct,False,False,False,Q8_0,2.0,2.83,1-2B,False,False,dense,51.49957395806998,0.9717314487632509,1.375,3.0467137809187275,0.16100780788831415
qwen3:4b,100,2.8,0.9265990819042819,0.82785,5.5561,102.5183,0.2570734,0.3105313764570876,1.6789989840348332,9.029,1.0,3.02,2.7266666666666666,qwen3,Alibaba/Qwen,instruct,True,True,False,Q4_K_M,4.0,3.32,3-4B,False,True,dense,10.891830893433548,0.8433734939759036,0.7,1.6735240963855422,-0.14488905337823477
qwen3:4b-instruct-2507-q4_K_M,100,3.36,1.0566767039003258,0.8811599999999999,5.8771,43.6125,0.1089977,0.12369796631712743,1.6711031046377922,8.96,0.01,3.1,3.4466666666666668,qwen3,Alibaba/Qwen,instruct,True,True,False,Q4_K_M,4.0,3.32,3-4B,False,True,dense,30.82633853741868,1.0120481927710843,0.84,1.7702108433734942,-0.08872203369863296
