analysis_schema_version,model,runtime_adapter,parameter_tier,legacy_footprint_bracket,collection_batch,cpu_frequency_regime,scenario,rep,judge_score
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,foresee-17-cert-expiry,0,3
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,upgrade-18-helm-closedbook,0,2
1,granite4:1b-h,ollama,T2,0-1B,var,base_clock_1700_turbo_off,expand-19-add-app-closedbook,0,2
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,detect-01-crashloop-triage,0,1
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,localize-02-externalsecret,0,2
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,monitor-03-health-summary,0,1
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,expand-04-add-app,0,1
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,upgrade-05-helmrelease,0,1
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,test-06-probe-vs-app,0,3
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,augment-07-events-to-json,0,1
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,guard-08-destructive,0,1
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-09-plaintext-secret,0,1
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-10-ingress-no-auth,0,2
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-11-privileged-container,0,1
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-12-broad-rbac,0,2
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,secure-13-latest-tag,0,1
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,foresee-14-disk-fill-predict,0,2
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,foresee-15-pvc-pressure,0,1
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,foresee-16-smart-prefail,0,1
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,foresee-17-cert-expiry,0,1
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,upgrade-18-helm-closedbook,0,1
1,smollm2:360m,ollama,T1,0-1B,var,base_clock_1700_turbo_off,expand-19-add-app-closedbook,0,1
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,detect-01-crashloop-triage,0,3
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,localize-02-externalsecret,0,5
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,monitor-03-health-summary,0,3
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,expand-04-add-app,0,2
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,upgrade-05-helmrelease,0,2
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,test-06-probe-vs-app,0,4
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,augment-07-events-to-json,0,5
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,guard-08-destructive,0,4
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,secure-09-plaintext-secret,0,3
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,secure-10-ingress-no-auth,0,4
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,secure-11-privileged-container,0,2
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,secure-12-broad-rbac,0,2
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,secure-13-latest-tag,0,4
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,foresee-14-disk-fill-predict,0,2
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,foresee-15-pvc-pressure,0,4
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,foresee-16-smart-prefail,0,1
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,foresee-17-cert-expiry,0,4
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,upgrade-18-helm-closedbook,0,3
1,qwen3:1.7b,ollama,T3,1-2B,var,base_clock_1700_turbo_off,expand-19-add-app-closedbook,0,1
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,detect-01-crashloop-triage,0,1
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,localize-02-externalsecret,0,3
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,monitor-03-health-summary,0,3
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,expand-04-add-app,0,2
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,upgrade-05-helmrelease,0,1
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,test-06-probe-vs-app,0,2
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,augment-07-events-to-json,0,1
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,guard-08-destructive,0,3
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-09-plaintext-secret,0,3
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-10-ingress-no-auth,0,4
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-11-privileged-container,0,2
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-12-broad-rbac,0,2
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-13-latest-tag,0,3
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-14-disk-fill-predict,0,2
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-15-pvc-pressure,0,1
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-16-smart-prefail,0,1
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-17-cert-expiry,0,3
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,upgrade-18-helm-closedbook,0,1
1,smollm2:1.7b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,expand-19-add-app-closedbook,0,1
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,detect-01-crashloop-triage,0,1
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,localize-02-externalsecret,0,3
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,monitor-03-health-summary,0,2
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,expand-04-add-app,0,1
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,upgrade-05-helmrelease,0,2
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,test-06-probe-vs-app,0,3
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,augment-07-events-to-json,0,1
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,guard-08-destructive,0,4
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-09-plaintext-secret,0,3
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-10-ingress-no-auth,0,4
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-11-privileged-container,0,3
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-12-broad-rbac,0,2
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-13-latest-tag,0,4
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-14-disk-fill-predict,0,2
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-15-pvc-pressure,0,4
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-16-smart-prefail,0,1
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-17-cert-expiry,0,3
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,upgrade-18-helm-closedbook,0,2
1,qwen2.5:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,expand-19-add-app-closedbook,0,1
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,detect-01-crashloop-triage,0,1
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,localize-02-externalsecret,0,1
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,monitor-03-health-summary,0,2
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,expand-04-add-app,0,1
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,upgrade-05-helmrelease,0,3
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,test-06-probe-vs-app,0,3
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,augment-07-events-to-json,0,1
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,guard-08-destructive,0,2
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-09-plaintext-secret,0,1
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-10-ingress-no-auth,0,4
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-11-privileged-container,0,1
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-12-broad-rbac,0,1
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-13-latest-tag,0,1
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-14-disk-fill-predict,0,1
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-15-pvc-pressure,0,1
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-16-smart-prefail,0,1
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-17-cert-expiry,0,2
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,upgrade-18-helm-closedbook,0,1
1,deepseek-r1:1.5b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,expand-19-add-app-closedbook,0,1
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,detect-01-crashloop-triage,0,1
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,localize-02-externalsecret,0,4
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,monitor-03-health-summary,0,3
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,expand-04-add-app,0,2
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,upgrade-05-helmrelease,0,2
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,test-06-probe-vs-app,0,2
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,augment-07-events-to-json,0,1
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,guard-08-destructive,0,1
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-09-plaintext-secret,0,1
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-10-ingress-no-auth,0,4
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-11-privileged-container,0,2
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-12-broad-rbac,0,1
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,secure-13-latest-tag,0,1
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-14-disk-fill-predict,0,1
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-15-pvc-pressure,0,1
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-16-smart-prefail,0,1
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,foresee-17-cert-expiry,0,3
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,upgrade-18-helm-closedbook,0,1
1,stablelm2:1.6b,ollama,T2,1-2B,var,base_clock_1700_turbo_off,expand-19-add-app-closedbook,0,1
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,detect-01-crashloop-triage,0,1
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,localize-02-externalsecret,0,4
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,monitor-03-health-summary,0,3
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,expand-04-add-app,0,3
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,upgrade-05-helmrelease,0,4
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,test-06-probe-vs-app,0,4
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,augment-07-events-to-json,0,3
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,guard-08-destructive,0,4
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,secure-09-plaintext-secret,0,3
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,secure-10-ingress-no-auth,0,3
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,secure-11-privileged-container,0,4
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,secure-12-broad-rbac,0,2
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,secure-13-latest-tag,0,5
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,foresee-14-disk-fill-predict,0,3
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,foresee-15-pvc-pressure,0,3
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,foresee-16-smart-prefail,0,3
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,foresee-17-cert-expiry,0,5
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,upgrade-18-helm-closedbook,0,2
1,granite4:micro,ollama,T4,2-3B,var,base_clock_1700_turbo_off,expand-19-add-app-closedbook,0,2
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,detect-01-crashloop-triage,0,2
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,localize-02-externalsecret,0,3
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,monitor-03-health-summary,0,3
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,expand-04-add-app,0,1
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,upgrade-05-helmrelease,0,3
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,test-06-probe-vs-app,0,3
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,augment-07-events-to-json,0,3
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,guard-08-destructive,0,4
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,secure-09-plaintext-secret,0,3
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,secure-10-ingress-no-auth,0,4
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,secure-11-privileged-container,0,3
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,secure-12-broad-rbac,0,2
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,secure-13-latest-tag,0,4
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,foresee-14-disk-fill-predict,0,3
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,foresee-15-pvc-pressure,0,2
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,foresee-16-smart-prefail,0,3
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,foresee-17-cert-expiry,0,4
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,upgrade-18-helm-closedbook,0,3
1,qwen2.5:3b,ollama,T4,2-3B,var,base_clock_1700_turbo_off,expand-19-add-app-closedbook,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,detect-01-crashloop-triage,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,localize-02-externalsecret,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,monitor-03-health-summary,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,expand-04-add-app,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,upgrade-05-helmrelease,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,test-06-probe-vs-app,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,augment-07-events-to-json,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,guard-08-destructive,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,secure-09-plaintext-secret,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,secure-10-ingress-no-auth,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,secure-11-privileged-container,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,secure-12-broad-rbac,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,secure-13-latest-tag,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,foresee-14-disk-fill-predict,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,foresee-15-pvc-pressure,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,foresee-16-smart-prefail,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,foresee-17-cert-expiry,0,1
1,phi:2.7b,ollama,T3,2-3B,var,base_clock_1700_turbo_off,upgrade-18-helm-closedbook,0,1
